Address,Price,Sold_Year
MILDURA VIC 3500,"$555,000 ",Sold by private treaty 23 Nov 2022
MILDURA VIC 3500,"$505,000 ",Sold by private treaty 23 Nov 2022
MILDURA VIC 3500,"$250,000 ",Sold by private treaty 23 Nov 2022
MILDURA VIC 3500,"$330,500 ",Sold by private treaty 23 Nov 2022
MILDURA VIC 3500,"$352,000 ",Sold by private treaty 23 Nov 2022
MORNINGTON VIC 3931,"$760,000 ",Sold by private treaty 23 Nov 2022
MORWELL VIC 3840,"$220,000 ",Sold by private treaty 23 Nov 2022
MOUNT ELIZA VIC 3930,"$3,600,000 ",Sold by private treaty 23 Nov 2022
MOUNT MARTHA VIC 3934,"$2,250,000 ",Sold by private treaty 23 Nov 2022
MOUNT MARTHA VIC 3934,"$1,777,500 ",Sold by private treaty 23 Nov 2022
MOUNT MARTHA VIC 3934,"$600,000 ",Sold by private treaty 23 Nov 2022
MOUNT PLEASANT VIC 3350,"$585,000 ",Sold by private treaty 23 Nov 2022
MURRUMBEENA VIC 3163,"$791,000 ",Sold at auction 23 Nov 2022
NARRE WARREN NORTH VIC 3804,"$1,700,000 ",Sold by private treaty 23 Nov 2022
NARRE WARREN SOUTH VIC 3805,"$822,000 ",Sold by private treaty 23 Nov 2022
NEWBOROUGH VIC 3825,"$375,000 ",Sold by private treaty 23 Nov 2022
NEWPORT VIC 3015,"$785,000 ",Sold prior to auction 23 Nov 2022
NOBLE PARK VIC 3174,"$389,000 ",Sold by private treaty 23 Nov 2022
NORTH MELBOURNE VIC 3051,"$575,000 ",Sold by private treaty 23 Nov 2022
NORTHCOTE VIC 3070,"$955,000 ",Sold at auction 23 Nov 2022
NOTTING HILL VIC 3168,"$278,000 ",Sold by private treaty 23 Nov 2022
OCEAN GROVE VIC 3226,"$1,265,000 ",Sold by private treaty 23 Nov 2022
PAKENHAM VIC 3810,"$665,000 ",Sold by private treaty 23 Nov 2022
PAKENHAM VIC 3810,"$795,000 ",Sold by private treaty 23 Nov 2022
PAKENHAM VIC 3810,"$432,500 ",Sold by private treaty 23 Nov 2022
PAKENHAM VIC 3810,"$475,000 ",Sold by private treaty 23 Nov 2022
PATTERSON LAKES VIC 3197,"$1,280,000 ",Sold by private treaty 23 Nov 2022
POINT COOK VIC 3030,"$641,000 ",Sold by private treaty 23 Nov 2022
RED CLIFFS VIC 3496,"$330,000 ",Sold by private treaty 23 Nov 2022
RINGWOOD VIC 3134,"$559,000 ",Sold by private treaty 23 Nov 2022
ROCKBANK VIC 3335,"$640,000 ",Sold by private treaty 23 Nov 2022
ROCKBANK VIC 3335,"$610,000 ",Sold by private treaty 23 Nov 2022
ROSEDALE VIC 3847,"$540,000 ",Sold by private treaty 23 Nov 2022
SAFETY BEACH VIC 3936,"$470,000 ",Sold by private treaty 23 Nov 2022
SEAFORD VIC 3198,"$1,060,000 ",Sold by private treaty 23 Nov 2022
SEBASTOPOL VIC 3356,"$370,000 ",Sold by private treaty 23 Nov 2022
